Arquivo,Linguagem,Algoritmo,Cidades,Custo,Tempo(s),Tipo
tsp2_1248.txt,C,MST_APPROX,6,1272,.001190272,APPROX
tsp2_1248.txt,Python,MST_APPROX,6,1272,.022048914,APPROX
tsp2_1248.txt,C,BRUTE_FORCE,6,1248,.001615710,EXACT
tsp1_253.txt,C,MST_APPROX,11,281,.001104438,APPROX
tsp1_253.txt,Python,MST_APPROX,11,269,.016051306,APPROX
tsp1_253.txt,C,BRUTE_FORCE,11,253,.054890294,EXACT
tsp3_1194.txt,C,MST_APPROX,15,1519,.001133216,APPROX
tsp3_1194.txt,Python,MST_APPROX,15,1424,.016480975,APPROX
